ID;MARCA;MODELO
415;MASERATI;GRANCABRIO
416;MASERATI;GRANSPORT
417;MASERATI;GRANTURISMO
418;MASERATI;QUATTROPORTE
419;MASERATI;SHAMAL
420;MASERATI;SPIDER
422;MATRA;PICK-UP
423;MAZDA;323
424;MAZDA;626
425;MAZDA;929
426;MAZDA;B-2500
427;MAZDA;B2200
428;MAZDA;MILLENIA
429;MAZDA;MPV
430;MAZDA;MX-3
431;MAZDA;MX-5
432;MAZDA;NAVAJO
433;MAZDA;PROTEGE
434;MAZDA;RX
467;MERCEDES-BENZ;CLASSE A
468;MERCEDES-BENZ;CLASSE B
469;MERCEDES-BENZ;CLASSE R
498;MERCEDES-BENZ;CLASSE GLK
531;MERCEDES-BENZ;SPRINTER
532;MERCURY;MYSTIQUE
533;MERCURY;SABLE
534;MG;550
535;MG;MG6
536;MINI;COOPER
537;MINI;ONE
538;MITSUBISHI;3000
539;MITSUBISHI;AIRTREK
540;MITSUBISHI;ASX
541;MITSUBISHI;COLT
542;MITSUBISHI;DIAMANT
543;MITSUBISHI;ECLIPSE
544;MITSUBISHI;EXPO
545;MITSUBISHI;GALANT
546;MITSUBISHI;GRANDIS
547;MITSUBISHI;L200
548;MITSUBISHI;L300
549;MITSUBISHI;LANCER
550;MITSUBISHI;MIRAGE
551;MITSUBISHI;MONTERO
552;MITSUBISHI;OUTLANDER
553;MITSUBISHI;PAJERO
554;MITSUBISHI;SPACE WAGON
555;MIURA;BG-TRUCK
556;NISSAN;350Z
557;NISSAN;ALTIMA
558;NISSAN;AX
559;NISSAN;D-21
560;NISSAN;FRONTIER
562;NISSAN;KING-CAB
563;NISSAN;LIVINA
564;NISSAN;MARCH
565;NISSAN;MAXIMA
567;NISSAN;MURANO
568;NISSAN;NX
569;NISSAN;PATHFINDER
571;NISSAN;PRIMERA
572;NISSAN;QUEST
573;NISSAN;SENTRA
574;NISSAN;STANZA
575;NISSAN;180SX
576;NISSAN;TERRANO
577;NISSAN;TIIDA
578;NISSAN;VERSA
579;NISSAN;X-TRAIL
580;NISSAN;XTERRA
581;NISSAN;ZX
582;PEUGEOT;106
583;PEUGEOT;205
584;PEUGEOT;206
585;PEUGEOT;207
586;PEUGEOT;3008
587;PEUGEOT;306
588;PEUGEOT;307
589;PEUGEOT;308
590;PEUGEOT;405
591;PEUGEOT;406
